CASE_ID,WRKFLW_TSK_MAP_GROUPED,WRKFLW_TSK_MAP_DETAILED,PATH_CRDATETIME,time_used_str,time_used_second
354059|390663|608273,OC - Created - Other,OC - Created - Evidence of course completion,18/10/2018 11:19:02,11 days 4 hours 27 minutes 30 seconds,966450.0
354059|390663|608273,OC - Satisfied - Other,OC - Satisfied - English language requirements,29/10/2018 15:46:32,0 days 0 hours 0 minutes 43 seconds,43.0
354059|390663|608273,OC - Satisfied - Other,OC - Satisfied - Evidence of course completion,29/10/2018 15:47:15,22 days 18 hours 0 minutes 40 seconds,1965640.0
354059|390663|608273,Accept,Accept,21/11/2018 9:47:55,NA,0.0
1132420|507235|778296,Release Offer,Release Offer,12/10/2019 11:28:50,2 days 21 hours 38 minutes 4 seconds,250684.0
1132420|507235|778296,AR - Created - Other,AR - Created - Assessment information (Coursework) (1),15/10/2019 9:06:54,106 days 6 hours 13 minutes 29 seconds,9180809.0
1132420|507235|778296,Defer,Defer,29/1/2020 15:20:23,NA,0.0
1037818|382051|595063,Release Offer,Release Offer,14/9/2018 12:16:26,NA,0.0
1103842|474147|727584,Release Offer,Release Offer,28/5/2019 14:09:08,0 days 0 hours 11 minutes 18 seconds,678.0
1103842|474147|727584,OC - Created - Other,OC - Created - Evidence of course completion,28/5/2019 14:20:26,NA,0.0
1110447|479220|735089,Release Offer,Release Offer,12/6/2019 13:20:27,0 days 9 hours 38 minutes 36 seconds,34716.0
1110447|479220|735089,Accept,Accept,12/6/2019 22:59:03,NA,0.0
1111306|480248|736601,Release Offer,Release Offer,11/5/2019 14:35:31,13 days 3 hours 58 minutes 47 seconds,1137527.0
1111306|480248|736601,Accept,Accept,24/5/2019 18:34:18,NA,0.0
1090139|454580|698531,Release Offer,Release Offer,7/2/2019 15:19:30,7 days 6 hours 48 minutes 33 seconds,629313.0
1090139|454580|698531,Accept,Accept,14/2/2019 22:08:03,NA,0.0
161176|451563|693990,Release Offer,Release Offer,26/2/2019 8:58:27,2 days 7 hours 58 minutes 32 seconds,201512.0
161176|451563|693990,Accept,Accept,28/2/2019 16:56:59,NA,0.0
1034720|382304|595455,Release Offer,Release Offer,13/9/2018 16:26:29,0 days 0 hours 4 minutes 42 seconds,282.0
1034720|382304|595455,OC - Satisfied - Other,OC - Satisfied - English language requirements,13/9/2018 16:31:11,0 days 22 hours 7 minutes 20 seconds,79640.0
